id,project,question,level,regulators,permit_types
RB-025,River Birch,"The Kean Miller LLP letter dated 4/7/2025 asserts that proposed future projects 'will serve and benefit Jefferson and St. Charles parishes,' but provides no supporting evidence. What specific, enforceable benefits to Jefferson and St. Charles parishes are tied to permit approval, and are any of them contingent on the major modification (as opposed to projects River Birch could undertake under the existing permit)?",S,LDEQ,Solid Waste
RB-026,River Birch,"River Birch is a privately-owned and operated facility. What enforceable host-community benefit agreement (tipping-fee surcharge, road fund, health monitoring fund) is included as a permit condition?",S,LDEQ,Solid Waste
RB-027,River Birch,"The original River Birch Landfill permit application was DENIED on 1/8/1996 by Secretary William A. Kucharski (EDMS 279821) on the explicit basis that 'a disproportionate burden has been borne by adjacent communities' and that there was no 'clear and planned benefit to the state, at large.' Has LDEQ analyzed how, if at all, the public-interest balancing differs in 2026 — given that the area has only become more developed and more burdened in the intervening 30 years?",S,LDEQ,Solid Waste
RB-028,River Birch,"The Jefferson Parish Zoning Appeals Board formally opposed the original River Birch permit in 1995 on zoning, alternative-site, and aviation grounds. What is the current formal position of the Jefferson Parish Council on the proposed major modification, and is it in the record (per EDMS 15150229)?",L,Parish Council,Solid Waste
RB-029,River Birch,"The 1996 denial decision stated there were 'over 5,000 residents within one and one-half miles of the proposed facility.' What is the current population within 1, 1.5, 3, and 5 miles given the development of Live Oak, Water Oaks, and other subdivisions since 1996?",S,LDEQ,Solid Waste
RB-030,River Birch,"Attachment 56 of the application contains a Capacity Evaluation. Does that evaluation account for the doubled intake (2.6M wet tons/year) over the projected life of the facility, and what is the resulting remaining airspace and closure date?",S,LDEQ,Solid Waste
RB-031,River Birch,"The public hearing was held 4/21/2026 at the James C. Simmons Community Center. Were copies of the application made available at additional public locations beyond the Avondale branch library, Jefferson Parish Council, and LDEQ Southeast Regional office — given that the proposed service area covers all 64 parishes?",S,LDEQ,Solid Waste
WF-001,Waterford 5 & 6,"What demonstrated need for additional generating capacity within St. Charles Parish (as opposed to elsewhere on the grid) does the application establish, given that the parish already produces roughly 20 times the electricity it consumes and its population has declined since 2010?",S,LDEQ,EAS
WF-002,Waterford 5 & 6,"If the generation is intended to serve a data-center load located in Richland Parish, does the EAS justify siting the emissions in St. Charles Parish, and were lower-burden alternative sites evaluated?",S,LDEQ,EAS
WF-003,Waterford 5 & 6,"Does the cumulative analysis account for the existing Waterford 3 nuclear station, Waterford 1 & 2, and the neighboring petrochemical facilities as co-located or commonly affecting sources?",S,LDEQ,Air
WF-004,Waterford 5 & 6,"Does the application disclose all enforcement actions, notices of violation, and consent decrees at Entergy's other Louisiana generating facilities within the past 5 years, and what corrective actions resulted?",S,LDEQ,Air
WF-005,Waterford 5 & 6,"If these units displace or defer retirement decisions for Waterford 1 & 2, does the application net out those emissions, or does it present Waterford 5 & 6 as wholly new load?",S,LDEQ,Air
WF-006,Waterford 5 & 6,"Is there a site-wide cleanup and redevelopment plan addressing how Waterford 5 & 6 decommissioning interacts with Waterford 3 and the legacy units?",S,LDEQ,EAS
HW-001,High West / Spoonbill,"Section 1 (Site Characterization, p.98 ToC / Table 1-21) lists ""Orphan Wells Within 5 Miles of the Proposed Project Location,"" yet Section 3 (AOR and Corrective Action Plan) states no artificial penetrations exist in the Area of Review and concludes no corrective action plan is needed. Does the AOR search radius match the 5-mile radius used for Table 1-21, does it cover the pressure front (not just the CO2 plume), and do any Table 1-21 wells fall within the actual AOR boundary?",S,LDENR/DCE,Class VI UIC
HW-004,High West / Spoonbill,"The Plume Model (Section 2) states the pressure/plume model domain covers approximately 47,100 acres (~74 sq mi), while the state lease and Site Characterization both give the controlled acreage as 21,079.18 acres. For the roughly 26,000 acres of modeled pressure-front extent that fall outside the leased/controlled acreage, what pore-space rights, notice, or consent has the applicant obtained from those other owners, and how does the application's repeated assertion that ""the CO2 plume growth and extent will remain on the acreage controlled by"" the applicant account for the pressure front rather than only the free-phase plume?",S,LDENR/DCE,Class VI UIC
HW-005,High West / Spoonbill,"ERRP Section 8 redacts pages 6-11 of 15 -- the pages containing the full narrative for all 8 identified risk scenarios (including Single Large-Volume CO2 Release to the Surface, Well Blowout, and Loss of Mechanical Integrity) and the risk matrix scoring referenced at Appendix G-1. What specific statutory exemption (trade secret, critical infrastructure security, or other) is claimed for withholding the risk-scenario narratives themselves -- as opposed to withholding genuinely sensitive details like exact coordinates or security countermeasures -- and how can the public meaningfully comment on emergency-response adequacy for a wetland WMA site without access to the risk scenarios being planned for?",S,LDENR/DCE,Class VI UIC
HW-006,High West / Spoonbill,"Financial Assurance Section 9 states the funding mechanism is Bond for ""Injection and Monitoring Well Plugging"" but Insurance for both ""Post-Injection Site Care and Site Closure"" and ""Emergency and Remedial Response"" -- and the pages containing every dollar figure are redacted. Insurance is a claims-made/eligibility-dependent instrument rather than a pre-funded, draw-on-demand instrument like a bond or trust. What is the actual dollar amount of coverage for PISC/site closure and for emergency/remedial response, what is the policy term relative to the decades-long PISC obligation, and why was insurance chosen over a bond or trust for these specific cost categories given Class VI's emphasis on assured, immediately available closure funding?",S,LDENR/DCE,Class VI UIC
HW-007,High West / Spoonbill,"QASP (Quality Assurance and Surveillance Plan) redacts roughly half its pages, concentrated in the sections covering monitoring instrumentation, corrosion monitoring, CO2 stream analysis, and groundwater sampling and analysis protocols. What specific instrumentation, detection limits, and sampling frequencies are proposed for mechanical integrity and groundwater monitoring, and on what basis are these methodological details -- as opposed to any genuinely proprietary instrument specifications -- withheld from public review of a program's ability to detect a leak before it reaches a USDW?",S,LDENR/DCE,Class VI UIC
