id,question,tier,group,process,level,regulators,permit_types
LFO-012,"What is the most recent groundwater monitoring data showing for each constituent of concern, and are there any exceedances or upward trends?",process,landfill-operations,landfill,S,LDEQ,Solid Waste / Ground Water
LFO-013,"Does the proposed liner system meet the performance criteria of the LAC provision being relied on, and has a qualified third party reviewed the alternative liner demonstration?",process,landfill-operations,landfill,S,LDEQ,Solid Waste
LFO-014,"Is the proposed daily and intermediate cover plan sufficient given projected intake volumes, weather patterns, and vector control needs?",process,landfill-operations,landfill,S,LDEQ,Solid Waste
LFO-015,"What is the working face size limit, and how will it be enforced as intake increases?",process,landfill-operations,landfill,S,LDEQ,Solid Waste
LFO-016,"What modes of waste transport will be used (truck, rail, barge), and what is the projected tonnage by mode?",process,landfill-operations,landfill,S,LDEQ,Solid Waste
LFO-017,"For each transport mode, where are the transfer points and how are emissions, odors, and spillage controlled at those points?",process,landfill-operations,landfill,S,LDEQ,Air / Solid Waste
LFO-018,"What truck-washing, tarping, and load-securement measures are required, and how will compliance be inspected?",process,landfill-operations,landfill,S,LDEQ,Solid Waste
LFO-019,"What bird-deterrence program is in place, and what monitoring/reporting demonstrates it is actually reducing bird use of the site?",process,landfill-operations,landfill,S,LDEQ,Solid Waste
FIN-001,"Is the financial assurance instrument (financial test, bond, trust, letter of credit) adequate to cover full closure and 30-year post-closure care costs at projected final waste volumes?",generic,financial-assurance,,S,LDEQ,Solid Waste
FIN-002,"If the applicant uses a financial test, does it currently meet all of the test's criteria, and what is the contingency if it fails the test mid-permit-term?",generic,financial-assurance,,S,LDEQ,Solid Waste
FIN-003,"How frequently are closure and post-closure cost estimates re-evaluated and adjusted for inflation and changes in scope?",generic,financial-assurance,,S,LDEQ,Solid Waste
FIN-004,"What decommissioning, equipment-removal, soil and groundwater remediation, and site-restoration obligations apply at end of life, and are financial assurances (bond, escrow) required to guarantee them?",generic,financial-assurance,,S,LDEQ,EAS
EAS-001,"What is the ratio of tax revenue to public costs (infrastructure, emergency services, health impacts), taking ITEP/IDEP tax abatements and subsidies into consideration?",generic,eas-it-questions,,S,LDEQ/USACE/CPRA/LADENR/OCM/LDOTD/FAA/Parish,EAS
EAS-002,"Does the Environmental Assessment Statement separately enumerate the social and economic benefits accruing to the public versus benefits accruing to the applicant and its customers?",generic,eas-it-questions,,S,LDEQ,EAS
EAS-003,"Are the claimed benefits in the application contingent on permit approval, or are they activities the applicant could undertake regardless of this permit action?",generic,eas-it-questions,,S,LDEQ,EAS
EAS-004,"Has the applicant addressed each of the IT factors (potential and real adverse environmental effects, alternative projects, alternative sites, mitigating measures) as required by Louisiana case law?",generic,eas-it-questions,,S,LDEQ,EAS
EAS-005,"Does the EAS demonstrate that adverse environmental effects have been avoided to the maximum extent possible, as required by the first IT question?",generic,eas-it-questions,,S,LDEQ,EAS
EAS-006,"Does the EAS evaluate alternative projects and alternative sites that would offer more environmental protection without unduly curtailing benefits, as required by the third IT question?",generic,eas-it-questions,,S,LDEQ,EAS
EAS-007,"Does the EAS cost-benefit analysis assign a quantified value to health and environmental costs borne by nearby residents, or does it list only the benefits to the applicant and its customers?",generic,eas-it-questions,,S,LDEQ,EAS
EAS-008,"Have property value impacts on adjacent and nearby communities been quantified and included as a social/economic cost in the cost-benefit analysis?",generic,eas-it-questions,,S,LDEQ,EAS
EAS-009,"Does the EAS separate permanent local jobs from temporary construction jobs and weigh them against the long-term environmental and health burden?",generic,eas-it-questions,,S,LDEQ,EAS
EAS-010,"What demonstrated local or regional need for this project's output does the application establish, as opposed to serving demand located elsewhere while the burdens stay local?",generic,eas-it-questions,,S,LDEQ,EAS
EJ-001,"Has a cumulative impacts analysis been conducted for the already overburdened communities in the area?",generic,ej-cumulative,,F,USACE,
EJ-002,"How does this project's pollution burden compare to EPA environmental justice screening thresholds?",generic,ej-cumulative,,F,USACE,
EJ-003,"Were affected environmental justice communities meaningfully consulted during application development, beyond the required public notice?",generic,ej-cumulative,,F,USACE/LDEQ,
EJ-004,"Does the environmental review adequately analyze cumulative impacts from the concentration of industrial facilities in the region?",generic,ej-cumulative,,F,USACE,
EJ-005,"Has the facility been evaluated under EPA's EJScreen or a comparable environmental-justice screening tool, and what were the results — noting that the Rise St. James decision found an EJ analysis mandatory under the Louisiana Constitution for LDEQ actions?",generic,ej-cumulative,,S,LDEQ/USACE,
EJ-006,"What is the demographic composition of populations within 1, 3, and 5 miles of the facility, and how do health and pollution burdens in these communities compare to state and national averages?",generic,ej-cumulative,,S,LDEQ,
EJ-007,"Were alternative locations, technologies, or configurations considered that would reduce impacts on fence-line communities?",generic,ej-cumulative,,F,USACE,
EJ-008,"Has a quantitative health-risk assessment (cancer risk, non-cancer hazard indices, asthma and cardiopulmonary outcomes) been produced for nearby residents based on modeled air toxics and cumulative exposure from all local facilities?",generic,ej-cumulative,,S,LDEQ,Air
EJ-009,"How will impacts on sensitive subpopulations (children, the elderly, people with cardiovascular or respiratory conditions) be evaluated, and are local health-outcome data (ER visits, hospitalizations, cancer registry) being used in the decision?",generic,ej-cumulative,,S,LDEQ,Air / EAS
PIR-001,"Did this facility have reasonable site requirements or were the site requirements chosen to match a particular site?",generic,usace-public-interest,,F,USACE,404/Section 10
PIR-002,"Were any sites excluded for erroneous reasons?",generic,usace-public-interest,,F,USACE,404/Section 10
PIR-003,"Were any sites excluded without being mentioned at all?",generic,usace-public-interest,,F,USACE,404/Section 10
PIR-004,"Does the permit application accurately calculate the net greenhouse gas emissions over the project lifecycle, including all upstream and downstream emissions?",generic,usace-public-interest,,F,USACE,
PIR-005,"Has formal consultation under the Endangered Species Act been completed for all potentially affected species?",generic,usace-public-interest,,F,USACE,
PIR-006,"Are there threatened or endangered species, migratory birds, or critical habitat in the project area; has the site been surveyed; and what avoidance, minimization, and mitigation measures are proposed?",generic,usace-public-interest,,F,USACE,
PIR-007,"Has the strength and breadth of community opposition been adequately considered in the public interest review?",generic,usace-public-interest,,F,USACE,
PIR-008,"Have property value impacts on surrounding communities been assessed?",generic,usace-public-interest,,F,USACE,
PIR-009,"Is there evidence the project will actually be completed as proposed from a financial standpoint?",generic,usace-public-interest,,F,USACE,
HIST-001,"Does the permit applicant currently have any open lawsuits, consent decrees, or notices of violation related to: Clean Water Act or Clean Air Act violations; unauthorized discharges or emissions exceeding permitted levels; wetlands destruction or unpermitted dredge/fill activities; coastal zone management violations; failure to remediate contaminated sites; false reporting of environmental monitoring data; or a pattern of environmental non-compliance at other facilities? Are all such actions at this facility and the applicant's other facilities within the past 5 years disclosed in the application?",generic,applicant-history,,S,LDEQ/USACE/CPRA,
HIST-002,"Is the applicant currently defending against any litigation involving: oil or chemical spills in navigable waters; maritime safety violations or vessel incidents; failure to maintain adequate spill response capabilities; violations of facility security requirements under MTSA; obstruction of navigation channels; or inadequate marine transfer operations?",generic,applicant-history,,F,USACE/USCG,
HIST-003,"Does the applicant have any pending lawsuits or unresolved violations concerning: fire code violations or inadequate fire suppression systems; improper storage or handling of hazardous materials; workplace safety incidents resulting in fatalities or serious injuries; failure to report or respond to emergency releases; process safety management violations; or inadequate emergency response planning or training?",generic,applicant-history,,S,LDEQ/Fire Marshal,
HIST-004,"Are there any current legal actions against the applicant related to: damage to public roads or bridges from overweight vehicles; failure to obtain proper transportation permits; traffic safety violations during construction or operations; or unpermitted work in DOTD right-of-ways?",generic,applicant-history,,S,LDOTD,
HIST-005,"If the proposed facility includes structures over 200 feet or is near an airport, does the applicant have any history of: violations of FAA obstruction lighting requirements; unauthorized intrusions into controlled airspace; or failure to file proper notices for crane operations?",generic,applicant-history,,F,FAA,
HIST-006,"Has the applicant or its parent/subsidiary companies been subject to any of the following within the past 5 years: criminal charges or convictions related to environmental, safety, or regulatory violations; debarment or suspension from federal or state contracts; lawsuits alleging a pattern of regulatory non-compliance; whistleblower complaints upheld by regulatory agencies; securities fraud litigation related to misrepresentation of environmental or safety compliance; or class action lawsuits from communities affected by facility operations?",generic,applicant-history,,S,LDEQ/USACE/CPRA/LADENR/OCM/LDOTD/FAA/Parish,
HIST-007,"Does the permit applicant currently have any open lawsuits, consent decrees, or violations related to: Coastal Use Permit violations or unpermitted activities in the coastal zone; unauthorized impacts to state water bottoms or coastal wetlands; failure to comply with coastal zone consistency requirements; violations of the State and Local Coastal Resources Management Act; unpermitted dredging, filling, or structures in coastal waters; or a pattern of non-compliance with previous coastal permits?",generic,applicant-history,,S,LADENR/OCM,
HIST-008,"If this is a permit renewal, have there been fires, explosions, releases, and safety incidents at this facility in the past 10 years?",generic,applicant-history,,S,LDEQ/USACE/CPRA/LADENR/OCM/LDOTD/FAA/Parish,
HIST-009,"Has the applicant clearly identified the legal entity (and any parent/subsidiary relationships) that will hold the permit and be responsible for compliance?",generic,applicant-history,,S,LDEQ,
HIST-010,"For each open or recently-closed enforcement action, what was the root cause and what permanent corrective action has been taken?",generic,applicant-history,,S,LDEQ,
SAF-001,"Does a sufficient contingency plan exist for the hazards introduced at the plant within the permit application?",generic,emergency-safety,,S,LDEQ/USACE,
SAF-002,"Is an evacuation plan in the event of chemical releases laid out in the permit application?",generic,emergency-safety,,S,LDEQ/USACE,RMP / PSM
SAF-003,"Are there any particular risks related to this plant which are undocumented in the permit application?",generic,emergency-safety,,S,LDEQ/USACE,
SAF-004,"Are there any legally murky areas which would encourage blame shifting in the event of an accident?",generic,emergency-safety,,S,LDEQ,
SAF-005,"Has the applicant provided a fire prevention and response plan, and is the local fire department equipped and trained for the specific hazards at this facility, or would it need additional training and equipment?",generic,emergency-safety,,S,State Fire Marshal,
SAF-006,"Are details about spill prevention, hazardous materials, and emergency plans provided for this project?",generic,emergency-safety,,S,LADENR,CUP
SAF-007,"Are emergency access routes and evacuation plans properly detailed?",generic,emergency-safety,,S,State Fire Marshal,Fire Marshal Plan Approval
SAF-008,"Is the fire suppression system adequately designed for the specific hazards present?",generic,emergency-safety,,S,State Fire Marshal,Fire Marshal Plan Approval
SAF-009,"Has a quantitative risk assessment been conducted for catastrophic release or explosion scenarios, and is an emergency response/evacuation plan referenced in the application?",generic,emergency-safety,,S,LDEQ,Air / RMP
SAF-010,"Does the risk assessment model worst-case release, rupture, explosion, and fire scenarios, with blast and thermal-radiation zones mapped relative to homes, schools, and workplaces?",generic,emergency-safety,,S,LDEQ/Fire Marshal,RMP / PSM
SAF-011,"What is the coordination plan with parish emergency management, fire departments, and law enforcement for shelter-in-place, evacuation, and public warning, and will it be tested with regular public drills?",generic,emergency-safety,,S,LDEQ/Fire Marshal,RMP / PSM
SAF-012,"How will emergency response be funded and staffed over the project's life, and does the EAS account for increased costs to parish emergency services?",generic,emergency-safety,,S,LDEQ,EAS
SAF-013,"Are fuel, chemical, and waste storage tanks designed with secondary containment above minimum requirements, and what is the maximum storage volume of the largest tank or tank farm?",generic,emergency-safety,,S,LDEQ,Air / RMP
SAF-014,"Does the facility require a Risk Management Plan under CAA §112(r) for regulated substances, and will the RMP be available for public review?",generic,emergency-safety,,S,LDEQ,RMP / PSM
WM-001,"What hazardous and non-hazardous wastes (oils, solvents, spent catalysts, filters, sludge) will be generated annually, and where will they be transported, treated, or disposed?",generic,waste-management,,S,LDEQ,Solid/Hazardous Waste
INF-001,"Are there any modifications needed to existing USACE infrastructure to accommodate this project?",generic,local-infrastructure,,F,USACE,Section 408
INF-002,"Have all potential impacts to existing waterway users been evaluated?",generic,local-infrastructure,,F,USCG,Waterway Suitability Analysis
INF-003,"How will this impact local aviation activity?",generic,local-infrastructure,,F,FAA,Notification of Proposed Construction
INF-004,"Is there adequate analysis of traffic patterns and potential congestion?",generic,local-infrastructure,,S,LDOTD,Permit & Letter of Endorsement
INF-005,"Does the project require a new or modified access connection to a state highway, and does the application include the required traffic, sight-distance, and turn-lane analysis for an Access Connection Permit?",generic,local-infrastructure,,S,LDOTD,Access Connection Permit
INF-006,"Does the project comply with local land use and development regulations?",generic,local-infrastructure,,L,Parish,Letter of No Objection
INF-007,"When was the most recent traffic impact study performed, and does it reflect current and projected truck volumes given any proposed expansion?",generic,local-infrastructure,,S,LDOTD,
INF-008,"Does the traffic study account for residential subdivisions and other developments built since the previous study?",generic,local-infrastructure,,S,LDOTD,
INF-009,"Does the LDOTD concurrence letter specifically address the proposed project scope (volume increase, expansion), or does it appear to address only routine continued operation?",generic,local-infrastructure,,S,LDOTD,
INF-010,"Who pays for road maintenance and repairs attributable to facility-generated truck traffic — the facility or the public?",generic,local-infrastructure,,S,LDOTD,
INF-011,"Is any portion of the facility within 10,000 feet of a runway end used by turbine-powered aircraft, or within 5 miles of a runway end that could attract hazardous bird movements (FAA Order 5200.5A)?",process,local-infrastructure,landfill,F,FAA,Solid Waste
INF-012,"Has the applicant consulted with the FAA and the relevant airport operator regarding bird attraction, and have their responses been included in the public record?",process,local-infrastructure,landfill,F,FAA,Solid Waste
INF-013,"At peak construction, how many workers, daily truck trips, and barge/rail movements are expected, and what are the traffic, noise, and safety impacts for nearby communities?",generic,local-infrastructure,,S,LDEQ/LDOTD,EAS
INF-014,"What enforceable permit conditions control construction dust, diesel idling, nighttime lighting, and noise, including during evenings and weekends?",generic,local-infrastructure,,S,LDEQ,Air
CLM-001,"How will the facility maintain compliance during extreme weather events (hurricanes, flooding)?",generic,climate-resilience,,F,USACE,
CLM-002,"Does the inclement weather procedure address multi-week or multi-month closures following a major hurricane or flood event?",process,climate-resilience,landfill,S,LDEQ,Solid Waste
CLM-003,"What is the contingency plan if the gas collection system, leachate system, or working face is rendered inoperable by a natural disaster?",process,climate-resilience,landfill,S,LDEQ,Solid Waste
CLM-004,"If the facility loses electric or water service for an extended period, can it safely continue to operate or accept waste?",process,climate-resilience,landfill,S,LDEQ,Solid Waste
CLM-005,"What elevation, levee protection, and flood-proofing measures are proposed, and do they reflect current FEMA flood maps, sea-level rise, and increased rainfall intensity?",generic,climate-resilience,,S,LDEQ/CPRA,EAS
CLM-006,"Does the application include a quantitative flood, storm-surge, and hurricane risk analysis over the facility's life, including worst-case fuel, chemical, and hazardous-material release during flooding?",generic,climate-resilience,,S,LDEQ,EAS
CLM-007,"Are backup power and emergency shutdown systems designed to operate safely during hurricanes and extended outages without uncontrolled emissions, flaring, or spills?",generic,climate-resilience,,S,LDEQ,Air / RMP
CLM-008,"Does the project add fill, structures, or vibration that stress levees or riverbanks, and has the relevant flood-protection authority performed a levee-safety or geotechnical review?",generic,climate-resilience,,S,CPRA/USACE,EAS
PUB-001,"Has significant public interest been demonstrated that would warrant a public hearing under LAC 33:I.Chapter 18?",generic,public-process,,S,LDEQ,
PUB-002,"Was public notice published, and direct notice provided, in every parish/community materially affected by the proposed action — downwind and downriver — not just the host parish?",generic,public-process,,S,LDEQ,
PUB-003,"Are all attachments referenced in the Fact Sheet and approval letter actually accessible to the public on EDMS for the entire public comment period?",generic,public-process,,S,LDEQ,
